index,original_sentence,original_triplet,counterfact1,counterfact_triplet1,counterfact1_modified,counterfact_triplet1_modified,counterfact2,counterfact_triplet2,counterfact2_modified,counterfact_triplet2_modified,counterfact3,counterfact_triplet3,counterfact3_modified,counterfact_triplet3_modified,checked1?,checked2?,checked3?
827,the comfort is lacking . the sound of people next door can be heard clearly .,"[('comfort', 'lacking', 'negative')]",the confort is lacking . the sound of people next door can be heard clearly .,"('confort', 'lacking', 'negative')",,,the comfort is poor . the sound of people next door can be heard clearly .,"('comfort', 'poor', 'negative')",,,the comfort is excellent . the sound of people next door can be heard clearly .,"('comfort', 'excellent', 'positive')",,,False,False,False
829,the hotel's location is strategic .,"[(""hotel's location"", 'strategic', 'positive')]",the baker's place is strategic .,"(""baker's place"", 'strategic', 'positive')",,,the hotel's location is convenient .,"(""hotel's location"", 'convenient', 'positive')",,,the hotel's location is poor .,"[""hotel's location"", 'poor', 'negative']",,,False,False,False
845,good . it's just tiring to climb the stairs .,"[('null', 'good', 'positive')]",,,,,,,,,,,,,False,False,False
849,"the room is cool . full facilities , i'm going there next week .","[('room', 'cool', 'positive')]","the fram is cool . full facilities , i'm going there next week .","('fram', 'cool', 'positive')",,,"the room is nice . full facilities , i'm going there next week .","('room', 'nice', 'positive')",,,"the room is cold . full facilities , i'm going there next week .","('room', 'cold', 'negative')",,,False,False,False
855,"the bathroom is dirty , and the hotel often holds strange events .","[('bathroom', 'dirty', 'negative')]","the balcony is dirty , and the hotel often holds strange events .","('balcony', 'dirty', 'negative')",,,"the bathroom is filthy , and the hotel often holds strange events .","('bathroom', 'filthy', 'negative')",,,"the bathroom is clean , and the hotel often holds strange events .","('bathroom', 'clean', 'positive')",,,False,False,False
859,quite satisfactory and representative for transit .,"[('null', 'quite satisfactory', 'positive')]",,,,,,,,,,,,,False,False,False
860,"the hotel is comfortable , feels like a 3-star hotel .","[('hotel', 'comfortable', 'positive')]","the hotel is comfortable , feels like a 3-star hotel .","('hotel', 'comfortable', 'positive')",,,"the hotel is cozy , feels like a 3-star hotel .","('hotel', 'cozy', 'positive')",,,"the hotel is uncomfortable , feels like a 3-star hotel .","('hotel', 'uncomfortable', 'negative')",,,False,False,False
865,"overall , i really enjoyed staying here , especially since i got a pretty good discount from airy .","[('overall', 'really enjoyed', 'positive')]","blob , i really enjoyed staying here , especially since i got a pretty good discount from airy .","('blob', 'really enjoyed', 'positive')",,,"overall , i truly liked staying here , especially since i got a pretty good discount from airy .","('overall', 'truly liked', 'positive')",,,"overall , i really disliked staying here , especially since i got a pretty good discount from airy .","('overall', 'really disliked', 'negative')",,,False,False,False
877,"the receptionist was very unfriendly . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm .","[('receptionist', 'very unfriendly', 'negative')]","the front desk was very unfriendly . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm .","('front desk', 'very unfriendly', 'negative')",,,"the receptionist was impolite . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm .","('receptionist', 'impolite', 'negative')",,,"the receptionist was not unfriendly . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm .","('receptionist', 'not unfriendly', 'positive')",,,False,False,False
880,all airy facilities are not provided or available in the room .,"[('facilities', 'not provided', 'negative')]",all airy furniture are not provided or available in the room .,"('furniture', 'not provided', 'negative')",,,all airy facilities are not offered or available in the room .,"('facilities', 'not offered', 'negative')",,,all airy facilities are adequately provided and available in the room .,"('facilities', 'adequately provided', 'positive')",,,False,False,False
894,the place is beautiful . there is a nice mosque in front of it .,"[('place', 'beautiful', 'positive')]",the venue is beautiful . there is a nice mosque in front of it .,"('venue', 'beautiful', 'positive')",,,the place is pleasant . there is a nice mosque in front of it .,"('place', 'pleasant', 'positive')",,,the place is ugly . there is a nice mosque in front of it .,"('place', 'ugly', 'negative')",,,False,False,False
904,"the view from the 2nd floor is lacking . perhaps in the future , airy rooms could have all rooms on the upper floors .","[('view', 'lacking', 'negative')]","the glimpse from the 2nd floor is lacking . perhaps in the future , airy rooms could have all rooms on the upper floors .","('glimpse', 'lacking', 'negative')",,,"the view from the 2nd floor is poor . perhaps in the future , airy rooms could have all rooms on the upper floors .","('view', 'poor', 'negative')",,,"the view from the 2nd floor is beautiful . perhaps in the future , airy rooms could have all rooms on the upper floors .","('view', 'beautiful', 'positive')",,,False,False,False
920,the service is slow .,"[('service', 'slow', 'negative')]",the process is slow .,"('process', 'slow', 'negative')",,,the service is bad .,"('service', 'bad', 'negative')",,,the service is fast .,"('service', 'fast', 'positive')",,,False,False,False
926,excellent service .,"[('service', 'excellent', 'positive')]",excellent xyz .,"('xyz', 'excellent', 'positive')",,,superb service .,"('service', 'superb', 'positive')",,,poor service .,"('service', 'poor', 'negative')",,,False,False,False
935,the wifi is not fast enough .,"[('wifi', 'not fast enough', 'negative')]",the life is not fast enough .,"('life', 'not fast enough', 'negative')",,,the wifi is not quick enough .,"('wifi', 'not quick enough', 'negative')",,,the wifi is not slow enough.,"('wifi', 'not slow enough', 'positive')",,,False,False,False
940,the bathroom faucet is rusty .,"[('bathroom faucet', 'rusty', 'negative')]",the ceiling fan is rusty .,"('ceiling fan', 'rusty', 'negative')",,,the bathroom faucet is dirty .,"('bathroom faucet', 'dirty', 'negative')",,,the bathroom faucet is shiny .,"('bathroom faucet', 'shiny', 'positive')",,,False,False,False
947,comfortable for resting .,"[('null', 'comfortable', 'positive')]",,,,,,,,,,,,,False,False,False
963,a bit scary .,"[('null', 'a bit scary', 'negative')]",,,,,,,,,,,,,False,False,False
982,"i have stayed here several times . so far , i am very satisfied .","[('null', 'very satisfied', 'positive')]",,,,,,,,,,,,,False,False,False
984,the tv channel alone needs improvement .,"[('tv channel', 'needs improvement', 'negative')]",the blue elephant alone needs improvement .,"('blue elephant', 'needs improvement', 'negative')",,,the tv channel alone is lacking .,"['tv channel', 'is lacking', 'negative']",,,the tv channel alone is good .,"('tv channel', 'is good', 'positive')",,,False,False,False
990,the service is not responsive .,"[('service', 'not responsive', 'negative')]",the table is not responsive .,"('table', 'not responsive', 'negative')",,,the service is unresponsive .,"('service', 'unresponsive', 'negative')",,,the service is highly responsive .,"('service', 'highly responsive', 'positive')",,,False,False,False
992,good service .,"[('service', 'good', 'positive')]",good office .,"('office', 'good', 'positive')",,,great service .,"('service', 'great', 'positive')",,,bad service .,"('service', 'bad', 'negative')",,,False,False,False
